Cod_setor,Entorno_V032,Entorno_V034,Entorno_V036,Entorno_V050,Entorno_V052,Entorno_V054,Entorno_V056,Entorno_V058,Entorno_V060,Entorno_V062,Entorno_V063,Entorno_V064,Entorno_V065,Domicilio_V111,Domicilio_V112,Domicilio_V113,Domicilio_V114,Domicilio_V115,Domicilio_V116,Domicilio_V145,Domicilio_V146,Domicilio_V147,Domicilio_V148
150630205000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.7935779816513762,0.0,0.0,0.03211009174311927,0.0,0.0045871559633027525,0.0,0.0
150630205000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28634361233480177,0.0,0.0,0.6651982378854625,0.0,0.0,0.0,0.0
150630205000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.6805555555555556,0.0,0.0,0.0,0.0
150630205000014,0.01680672268907563,0.01680672268907563,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.16806722689075632,0.7478991596638656,0.008403361344537815,0.07563025210084033,0.008130081300813009,0.06504065040650407,0.8780487804878049,0.0,0.0,0.0,0.0,0.008130081300813009,0.0,0.0
150630205000015,0.14465408805031446,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.16352201257861634,0.7295597484276729,0.025157232704402517,0.08176100628930817,0.018518518518518517,0.024691358024691357,0.9012345679012346,0.024691358024691357,0.0,0.006172839506172839,0.0,0.0,0.0,0.0
150630205000016,0.019157088122605363,0.0,0.0,0.019157088122605363,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.7624521072796935,0.0,0.21839080459770116,0.0,0.0038314176245210726,0.7049808429118773,0.0,0.0,0.21455938697318008,0.0,0.0,0.0,0.0
150630205000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.44537815126050423,0.4327731092436975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150630205000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150630210000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.015384615384615385,0.007692307692307693,0.007692307692307693,0.7923076923076923,0.0,0.0,0.13846153846153847,0.0,0.0,0.0,0.0
150630210000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051546391752577,0.46649484536082475,0.0,0.002577319587628866,0.0,0.0,0.0,0.0
150630210000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205128205128205,0.0,0.09401709401709402,0.0,0.0,0.675,0.1,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
150630215000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9437869822485208,0.0,0.026627218934911243,0.0,0.10787172011661808,0.8367346938775511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150630215000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
